,file,q16,nude
0,../data/images/35a36511-d350-4daf-84b8-0bab61881028.png,1,[]
1,../data/images/ec7a7fe4-b547-40e5-92e4-0471de3c2808.png,0,"[{'class': 'FACE_FEMALE', 'score': 0.7494229674339294, 'box': [168, 97, 58, 55]}, {'class': 'BUTTOCKS_COVERED', 'score': 0.355330228805542, 'box': [113, 262, 126, 89]}]"
2,../data/images/22abfc0a-4034-4889-a1d9-8d127e39c912.png,1,"[{'class': 'FACE_FEMALE', 'score': 0.604433536529541, 'box': [128, 30, 251, 269]}]"
3,../data/images/a8c5b643-a8ec-46b8-b56b-555feb3f6a37.png,0,[]
4,../data/images/7987eca7-41b0-45d5-8197-4d258a53eb72.png,1,[]
5,../data/images/dccc6ee5-ecf3-43ae-b0c3-fdd015707e10.png,0,"[{'class': 'FACE_FEMALE', 'score': 0.8392864465713501, 'box': [170, 105, 89, 89]}, {'class': 'BELLY_EXPOSED', 'score': 0.7998806238174438, 'box': [204, 334, 108, 109]}, {'class': 'FEMALE_BREAST_EXPOSED', 'score': 0.705879271030426, 'box': [239, 238, 79, 86]}, {'class': 'FEMALE_BREAST_EXPOSED', 'score': 0.6050693392753601, 'box': [173, 244, 78, 92]}, {'class': 'FEMALE_GENITALIA_COVERED', 'score': 0.25120776891708374, 'box': [214, 466, 68, 45]}]"
6,../data/images/426ce385-0b2a-4586-ad51-7287f7e1cb36.png,1,[]
7,../data/images/cfa47f89-6fb5-433a-bc18-000dcc715b8e.png,1,"[{'class': 'FEET_COVERED', 'score': 0.40879642963409424, 'box': [258, 209, 50, 53]}]"
8,../data/images/c999a299-b7a6-440f-9b51-8baf9372b063.png,1,"[{'class': 'FACE_FEMALE', 'score': 0.3085622787475586, 'box': [451, 157, 60, 162]}]"
9,../data/images/a58b09ea-72a0-4f93-8d2b-6ca64dcb598a.png,0,[]
